video_num,video_path,age_group,ground_truth_valence,predicted_valence,predicted_score,score_positive,score_neutral,score_negative,correct,frames_total,frames_analysed,frames_failed,latency_ms,timestamp
1,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Negative.mp4,old,negative,negative,66.5866,23.4276,9.9858,66.5866,1,641,30,0,46765.55,2026-03-10T14:15:40
2,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Neutral.mp4,old,neutral,negative,76.5191,17.9765,5.5044,76.5191,0,395,30,0,43168.38,2026-03-10T14:16:23
3,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Positive.mp4,old,positive,positive,49.7881,49.7881,2.9702,47.2417,1,713,30,0,51928.48,2026-03-10T14:17:15
4,/Users/anushka/Desktop/Capstone/Dataset/Anders_Negative.MOV,young,negative,positive,78.7858,78.7858,2.3771,18.8371,0,294,30,0,89489.64,2026-03-10T14:18:44
5,/Users/anushka/Desktop/Capstone/Dataset/Anders_Neutral.MOV,young,neutral,negative,58.5431,19.0095,22.4474,58.5431,0,318,30,0,92727.35,2026-03-10T14:20:17
6,/Users/anushka/Desktop/Capstone/Dataset/Anders_Positive.MOV,young,positive,negative,43.6826,32.1416,24.1758,43.6826,0,320,30,0,100957.47,2026-03-10T14:21:58
7,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Negative.MOV,young,negative,neutral,58.4455,0.0248,58.4455,41.5297,0,305,30,0,29634.89,2026-03-10T14:22:28
8,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Neutral.MOV,young,neutral,neutral,93.8448,0.0447,93.8448,6.1105,1,282,30,0,27891.14,2026-03-10T14:22:56
9,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Positive.MOV,young,positive,positive,94.1635,94.1635,5.2425,0.594,1,313,30,0,53327.05,2026-03-10T14:23:54
10,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Negative.MOV,old,negative,negative,91.2166,4.1972,4.5861,91.2166,1,231,30,0,28936.9,2026-03-10T14:24:22
