video_num,video_path,age_group,ground_truth_valence,predicted_valence,predicted_score,score_positive,score_neutral,score_negative,correct,frames_total,frames_analysed,frames_failed,latency_ms,timestamp
1,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Negative.mp4,old,negative,neutral,79.2334,17.9228,79.2334,2.8437,0,641,27,3,5199.08,2026-03-10T10:34:21
2,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Neutral.mp4,old,neutral,neutral,69.6665,27.4497,69.6665,2.8837,1,395,19,11,4381.42,2026-03-10T10:34:25
3,/Users/anushka/Desktop/Capstone/Dataset/Amah_Old_Positive.mp4,old,positive,neutral,67.9754,29.7643,67.9754,2.2602,0,713,29,1,4805.13,2026-03-10T10:34:30
4,/Users/anushka/Desktop/Capstone/Dataset/Anders_Negative.MOV,young,negative,neutral,72.1556,24.8364,72.1556,3.0078,0,294,30,0,18977.56,2026-03-10T10:34:49
5,/Users/anushka/Desktop/Capstone/Dataset/Anders_Neutral.MOV,young,neutral,neutral,69.7761,27.6694,69.7761,2.5544,1,318,30,0,19195.95,2026-03-10T10:35:08
6,/Users/anushka/Desktop/Capstone/Dataset/Anders_Positive.MOV,young,positive,neutral,65.7934,32.3611,65.7934,1.8454,0,320,30,0,19320.01,2026-03-10T10:35:27
7,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Negative.MOV,young,negative,neutral,86.5232,9.7287,86.5232,3.7479,0,305,30,0,2216.15,2026-03-10T10:35:30
8,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Neutral.MOV,young,neutral,neutral,84.7621,11.8138,84.7621,3.424,1,282,30,0,2299.75,2026-03-10T10:35:32
9,/Users/anushka/Desktop/Capstone/Dataset/Anushka_Positive.MOV,young,positive,neutral,63.6219,34.7053,63.6219,1.6726,0,313,30,0,2225.38,2026-03-10T10:35:34
10,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Negative.MOV,old,negative,neutral,72.3571,24.9259,72.3571,2.7169,0,231,30,0,2135.45,2026-03-10T10:35:36
11,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Neutral.MOV,old,neutral,neutral,86.7824,10.1633,86.7824,3.0541,1,228,30,0,2133.12,2026-03-10T10:35:39
12,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Positive.MOV,old,positive,neutral,72.1094,25.734,72.1094,2.1565,0,262,30,0,2169.78,2026-03-10T10:35:41
13,/Users/anushka/Desktop/Capstone/Dataset/asian_Old_Negative.mp4,old,negative,neutral,78.9549,18.3908,78.9549,2.6542,0,146,30,0,2070.67,2026-03-10T10:35:43
