ground_truth,face_pred,audio_pred,v3_pred,mlp_pred
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Sad,Neutral,Sad,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Sad,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Happy,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Happy,Neutral,Happy,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Sad,Sad,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Fear,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral
Happy,Neutral,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Fear,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Neutral,Neutral,Neutral,Neutral
Happy,Neutral,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Fear,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Neutral,Neutral,Neutral,Neutral
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Neutral,Neutral,Neutral,Neutral
Happy,Neutral,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Fear,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Neutral,Neutral,Neutral,Neutral
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
